x,y,z
-119.99966271154783,30.014100236723046,0.05
-119.99966271154783,30.421903803400888,0.05
-119.99966271154783,30.829707370078726,0.05
-119.99966271154783,31.237510936756568,0.05
-119.99966271154783,31.64531450343441,0.05
-119.99966271154783,32.05311807011225,0.05
-119.99966271154783,32.46092163679009,0.05
-119.99966271154783,32.86872520346793,0.05
-119.99966271154783,33.276528770145774,0.05
-119.99966271154783,33.684332336823616,0.05
-119.99966271154783,34.09213590350146,0.05
-119.99966271154783,34.4999394701793,0.05
-119.99966271154783,34.907743036857134,0.05
-119.99966271154783,35.315546603534976,0.05
-119.99966271154783,35.72335017021282,0.05
-119.99966271154783,36.13115373689066,0.05
-119.99966271154783,36.5389573035685,0.05
-119.99966271154783,36.946760870246344,0.05
-119.99966271154783,37.35456443692418,0.05
-119.99966271154783,37.76236800360202,0.05
-119.99966271154783,38.17017157027986,0.05
-119.99966271154783,38.577975136957704,0.05
-119.99966271154783,38.985778703635546,0.05
-119.99966271154783,39.39358227031339,0.05
-119.99966271154783,39.80138583699123,0.05
-119.99966271154783,40.20918940366907,0.05
-119.99966271154783,40.61699297034691,0.05
-119.99966271154783,41.02479653702475,0.05
-119.99966271154783,41.43260010370259,0.05
-119.99966271154783,41.84040367038043,0.04
-119.99966271154783,42.248207237058274,0.04
-119.99966271154783,42.656010803736116,0.04
-119.99966271154783,43.06381437041395,0.03
-119.99966271154783,43.47161793709179,0.04
-119.99966271154783,43.879421503769635,0.04
-119.99966271154783,44.28722507044748,0.04
-119.99966271154783,44.69502863712532,0.04
-119.99966271154783,45.10283220380316,0.04
-119.99966271154783,45.510635770481,0.04
-119.99966271154783,45.918439337158844,0.04
-119.99966271154783,46.326242903836686,0.04
-119.99966271154783,46.73404647051452,0.04
-119.99966271154783,47.14185003719236,0.04
-119.99966271154783,47.549653603870205,0.04
-119.99966271154783,47.95745717054805,0.05
-119.99966271154783,48.36526073722588,0.05
-119.99966271154783,48.77306430390372,0.05
-119.99966271154783,49.180867870581565,0.05
-119.99966271154783,49.58867143725941,0.05
-119.99966271154783,49.99647500393725,0.05
-119.18450202290444,30.014100236723046,0.05
-119.18450202290444,30.421903803400888,0.05
-119.18450202290444,30.829707370078726,0.05
-119.18450202290444,31.237510936756568,0.05
-119.18450202290444,31.64531450343441,0.05
-119.18450202290444,32.05311807011225,0.05
-119.18450202290444,32.46092163679009,0.05
-119.18450202290444,32.86872520346793,0.05
-119.18450202290444,33.276528770145774,0.05
-119.18450202290444,33.684332336823616,0.05
-119.18450202290444,34.09213590350146,0.05
-119.18450202290444,34.4999394701793,0.05
-119.18450202290444,34.907743036857134,0.05
-119.18450202290444,35.315546603534976,0.05
-119.18450202290444,35.72335017021282,0.05
-119.18450202290444,36.13115373689066,0.05
-119.18450202290444,36.5389573035685,0.05
-119.18450202290444,36.946760870246344,0.05
-119.18450202290444,37.35456443692418,0.05
-119.18450202290444,37.76236800360202,0.05
-119.18450202290444,38.17017157027986,0.05
-119.18450202290444,38.577975136957704,0.05
-119.18450202290444,38.985778703635546,0.05
-119.18450202290444,39.39358227031339,0.05
-119.18450202290444,39.80138583699123,0.05
-119.18450202290444,40.20918940366907,0.05
-119.18450202290444,40.61699297034691,0.05
-119.18450202290444,41.02479653702475,0.05
-119.18450202290444,41.43260010370259,0.05
-119.18450202290444,41.84040367038043,0.04
-119.18450202290444,42.248207237058274,0.04
-119.18450202290444,42.656010803736116,0.04
-119.18450202290444,43.06381437041395,0.03
-119.18450202290444,43.47161793709179,0.04
-119.18450202290444,43.879421503769635,0.04
-119.18450202290444,44.28722507044748,0.04
-119.18450202290444,44.69502863712532,0.04
-119.18450202290444,45.10283220380316,0.04
-119.18450202290444,45.510635770481,0.04
-119.18450202290444,45.918439337158844,0.04
-119.18450202290444,46.326242903836686,0.04
-119.18450202290444,46.73404647051452,0.04
-119.18450202290444,47.14185003719236,0.04
-119.18450202290444,47.549653603870205,0.04
-119.18450202290444,47.95745717054805,0.05
-119.18450202290444,48.36526073722588,0.05
-119.18450202290444,48.77306430390372,0.05
-119.18450202290444,49.180867870581565,0.05
-119.18450202290444,49.58867143725941,0.05
-119.18450202290444,49.99647500393725,0.05
-118.36934133426105,30.014100236723046,0.05
-118.36934133426105,30.421903803400888,0.05
-118.36934133426105,30.829707370078726,0.05
-118.36934133426105,31.237510936756568,0.05
-118.36934133426105,31.64531450343441,0.05
-118.36934133426105,32.05311807011225,0.05
-118.36934133426105,32.46092163679009,0.05
